날짜:2020.1.1		소비:[식료품]10000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6200 [문화생활비]54000 [통신비]0 [가정용품]0 [주류,담배]114500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.7		소비:[식료품]16000 [주거비]0 [의류비]17000 [보건의료비]0 [교통비]2600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.8		소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.9		소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.10	소비: [식료품]22000[주거비]893000 [의류비]0 [보건의료비]0 [교통비]2800 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.5.11	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.12	소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.13	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.14	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]8700 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.15	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.16	소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.17	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.18	소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.19	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.20	소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.21	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.22	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.23	소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.24	소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.25	소비:[식료품]10000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.26	소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.27	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.28	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.29	소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.30	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.5.31	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.1		소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.2		소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.3		소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.4		소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8500 [문화생활비]12800 [통신비]0 [가정용품]0 [주류,담배]12000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.5		소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.6		소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.7		소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.8		소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.9		소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.10	소비: [식료품]14000[주거비]845000 [의류비]0 [보건의료비]0 [교통비]7700 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.6.11	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]33000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.12	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.13	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.14	소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.15	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]12000 [교통비]10700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.16	소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.17	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.18	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.19	소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.20	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]335000 [기타]0
날짜:2020.6.21	소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.22	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.23	소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]12000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.24	소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.25	소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.26	소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.27	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.28	소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.29	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.6.30	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.1		소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.2		소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.3		소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.4		소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.5		소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.6		소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.7		소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.8		소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.9		소비:[식료품]14000 [주거비]0 [의류비]8800 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.10	소비: [식료품]11000[주거비]807000 [의류비]0 [보건의료비]0 [교통비]8300 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.7.11	소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.12	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.13	소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.14	소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]8000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.15	소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.16	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.17	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.18	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.19	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.20	소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.21	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.22	소비:[식료품]10000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.23	소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2400 [문화생활비]10000 [통신비]0 [가정용품]0 [주류,담배]11000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.24	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.25	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]12500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.26	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.27	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.28	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.29	소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.30	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.7.31	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.1		소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.2		소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.3		소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.4		소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.5		소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.6		소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.7		소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.8		소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.9		소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.10	소비: [식료품]17000[주거비]779000 [의류비]0 [보건의료비]0 [교통비]5800 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.8.11	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.12	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.13	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]18000 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.14	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.15	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.16	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.17	소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.18	소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.19	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.20	소비:[식료품]12000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4800 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.21	소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.22	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.23	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.24	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.25	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.26	소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.27	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.28	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.29	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.30	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.8.31	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.1		소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]5100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.2		소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.3		소비:[식료품]24000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.4		소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.5		소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.6		소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.7		소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.8		소비:[식료품]10000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.9		소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.9.10	소비: [식료품]15000[주거비]817000 [의류비]0 [보건의료비]0 [교통비]10300 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.9.11	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
